Condition	Gene1	Gene2	PCC_all	PCC_L1out	dPCC	Pval
TP53_GOF	FILIP1	SP8	0.153	0.264	-0.111	0.002
TP53_GOF	FITM1	TRABD2A	0.195	0.299	-0.105	0.000
TP53_GOF	FITM2	TBC1D20	0.242	0.351	-0.109	0.002
TP53_GOF	FIZ1	NUP58	0.146	0.255	-0.109	0.002
TP53_GOF	FIZ1	RPP14	0.168	0.303	-0.136	0.001
TP53_GOF	FKBP10	RABGGTA	0.158	0.278	-0.120	0.000
TP53_GOF	FKBP11	ICOS	0.281	0.179	0.101	0.002
TP53_GOF	FKBP11	MICAL2	0.145	0.261	-0.116	0.000
TP53_GOF	FKBP11	PLXND1	0.142	0.248	-0.105	0.000
TP53_GOF	FKBP15	MAZ	0.121	0.266	-0.145	0.001
TP53_GOF	FKBP6	H2BC5	0.148	0.263	-0.114	0.000
TP53_GOF	FKBP6	KBTBD6	0.287	0.178	0.109	0.001
TP53_GOF	FKBP6	SOX12	0.164	0.273	-0.109	0.000
TP53_GOF	FKBP7	PTPN12	0.150	0.256	-0.107	0.000
TP53_GOF	FKBP8	SPATA45	0.153	0.261	-0.108	0.000
TP53_GOF	FKBPL	SDHAF2	0.228	0.333	-0.105	0.000
TP53_GOF	FLACC1	SCGB2A2	0.146	0.253	-0.107	0.000
TP53_GOF	FLACC1	TCL1A	0.165	0.266	-0.101	0.000
TP53_GOF	FLG2	TMEM184A	0.143	0.255	-0.112	0.000
TP53_GOF	FLI1	STAT5B	0.168	0.326	-0.159	0.001
TP53_GOF	FLII	ZC3H13	0.135	0.254	-0.119	0.000
TP53_GOF	FLOT1	IGF2R	0.113	0.250	-0.137	0.000
TP53_GOF	FLOT1	POLM	0.187	0.302	-0.115	0.001
TP53_GOF	FLOT1	TRIM39	0.148	0.250	-0.102	0.000
TP53_GOF	FLRT1	LMTK3	0.147	0.269	-0.122	0.000
TP53_GOF	FLT3	MAG	0.149	0.257	-0.108	0.000
TP53_GOF	FMO1	STOM	0.178	0.286	-0.109	0.000
TP53_GOF	FMR1NB	GPR137	0.250	0.150	0.101	0.002
TP53_GOF	FMR1NB	KCNG1	0.298	0.198	0.100	0.002
TP53_GOF	FMR1NB	RWDD4	0.147	0.259	-0.112	0.002
TP53_GOF	FN1	RTKN2	0.176	0.276	-0.100	0.001
TP53_GOF	FN3K	PSG5	0.248	0.126	0.122	0.001
TP53_GOF	FNDC10	NAGPA	0.160	0.261	-0.101	0.001
TP53_GOF	FNDC5	GIMAP6	0.244	0.349	-0.105	0.000
TP53_GOF	FNDC5	MDC1	0.155	0.263	-0.109	0.002
TP53_GOF	FNDC5	TMEM174	0.268	0.394	-0.125	0.000
TP53_GOF	FNIP2	SNX21	0.121	0.261	-0.141	0.000
TP53_GOF	FOLR2	GAK	0.347	0.450	-0.103	0.000
TP53_GOF	FOXA1	WIPI1	0.067	0.263	-0.197	0.000
TP53_GOF	FOXA3	NETO2	0.145	0.259	-0.114	0.000
TP53_GOF	FOXB2	RRP9	0.146	0.250	-0.105	0.001
TP53_GOF	FOXC1	ISOC2	0.128	0.321	-0.193	0.000
TP53_GOF	FOXD4L1	GOLGA8N	0.235	0.339	-0.104	0.001
TP53_GOF	FOXD4L1	HLA-DQB1	0.189	0.294	-0.105	0.001
TP53_GOF	FOXD4L1	RPL7L1	0.212	0.323	-0.111	0.000
TP53_GOF	FOXD4L4	PLB1	0.167	0.270	-0.103	0.001
TP53_GOF	FOXH1	OR4D9	0.156	0.273	-0.117	0.000
TP53_GOF	FOXI1	MMAB	0.148	0.258	-0.110	0.000
TP53_GOF	FOXI1	MMP28	0.157	0.291	-0.134	0.000
TP53_GOF	FOXI1	ZNF490	0.180	0.280	-0.100	0.001
TP53_GOF	FOXJ1	GALNT7	0.118	0.249	-0.131	0.000
TP53_GOF	FOXJ1	LAPTM5	0.127	0.252	-0.125	0.000
TP53_GOF	FOXJ3	SELPLG	0.149	0.266	-0.117	0.001
TP53_GOF	FOXO3	ILDR2	0.217	0.321	-0.104	0.000
TP53_GOF	FOXO3	MMP28	0.215	0.335	-0.120	0.000
TP53_GOF	FOXO3	SERPINA12	0.154	0.257	-0.104	0.000
TP53_GOF	FOXO3	SIGLEC12	0.190	0.295	-0.105	0.001
TP53_GOF	FOXO3	SYT7	0.182	0.282	-0.100	0.002
TP53_GOF	FOXO4	KCNS3	0.152	0.268	-0.115	0.001
TP53_GOF	FOXP3	WDR12	0.329	0.225	0.104	0.000
TP53_GOF	FOXRED1	SOD2	0.291	0.398	-0.107	0.000
TP53_GOF	FOXRED2	HEATR1	0.198	0.308	-0.111	0.000
TP53_GOF	FOXRED2	TMEM115	0.146	0.250	-0.104	0.001
TP53_GOF	FOXRED2	YWHAB	0.122	0.259	-0.137	0.000
TP53_GOF	FOXS1	IZUMO4	0.129	0.258	-0.130	0.001
TP53_GOF	FPGT	HCAR2	0.287	0.181	0.106	0.001
TP53_GOF	FPGT	HYAL2	0.211	0.318	-0.107	0.001
TP53_GOF	FPGT	IL17RA	0.182	0.283	-0.101	0.000
TP53_GOF	FPGT	TMEM262	0.292	0.182	0.110	0.000
TP53_GOF	FRAT1	SUMO4	0.250	0.144	0.106	0.001
TP53_GOF	FREM1	MAZ	0.144	0.278	-0.134	0.001
TP53_GOF	FREM3	OCEL1	0.136	0.254	-0.118	0.001
TP53_GOF	FREM3	UTS2B	0.127	0.269	-0.142	0.000
TP53_GOF	FRG1	GDPD1	0.204	0.318	-0.113	0.001
TP53_GOF	FRG1	MRFAP1L1	0.374	0.491	-0.117	0.002
TP53_GOF	FRG1	PHLDA2	0.135	0.253	-0.119	0.000
TP53_GOF	FRG1	PPA2	0.163	0.288	-0.126	0.000
TP53_GOF	FRG1	TMCO3	0.184	0.329	-0.146	0.001
TP53_GOF	FRG1	TYMP	0.155	0.290	-0.135	0.002
TP53_GOF	FRK	OR6Y1	0.156	0.290	-0.134	0.000
TP53_GOF	FRMD6	PDCD6IP	0.145	0.274	-0.130	0.000
TP53_GOF	FRMPD1	SALL4	0.131	0.256	-0.126	0.001
TP53_GOF	FRS3	GRM3	0.131	0.266	-0.135	0.000
TP53_GOF	FRS3	TLK1	0.221	0.326	-0.106	0.000
TP53_GOF	FSCN1	NDUFS3	0.149	0.287	-0.138	0.000
TP53_GOF	FSCN1	NINJ1	0.140	0.269	-0.129	0.001
TP53_GOF	FSCN1	PLEC	0.152	0.273	-0.121	0.002
TP53_GOF	FSCN1	TMEM240	0.220	0.364	-0.144	0.001
TP53_GOF	FSCN1	ZNF684	0.146	0.296	-0.150	0.000
TP53_GOF	FSCN2	NFE2	0.159	0.269	-0.111	0.001
TP53_GOF	FSCN3	NT5C	0.125	0.257	-0.132	0.000
TP53_GOF	FSHR	GPR139	0.114	0.251	-0.137	0.000
TP53_GOF	FSHR	KRTAP19-3	0.123	0.260	-0.137	0.000
TP53_GOF	FSHR	LTV1	0.138	0.250	-0.112	0.001
TP53_GOF	FSHR	MAP1LC3B2	0.188	0.301	-0.112	0.000
TP53_GOF	FSHR	NCR3	0.157	0.267	-0.110	0.001
TP53_GOF	FSHR	OR4D5	0.170	0.320	-0.150	0.000
TP53_GOF	FSHR	PSMC4	0.200	0.318	-0.118	0.000
TP53_GOF	FSHR	RNF5	0.136	0.261	-0.125	0.000
TP53_GOF	FSHR	SRRM4	0.157	0.277	-0.120	0.000
TP53_GOF	FSHR	TECTB	0.147	0.263	-0.116	0.000
TP53_GOF	FSIP2	KIF11	0.205	0.305	-0.100	0.002
TP53_GOF	FSIP2	METAP2	0.205	0.324	-0.119	0.000
TP53_GOF	FSIP2	PSMB5	0.166	0.267	-0.101	0.000
TP53_GOF	FSIP2	PSMC6	0.181	0.300	-0.119	0.002
TP53_GOF	FSIP2	SNRPD1	0.182	0.288	-0.106	0.000
TP53_GOF	FSIP2	TBC1D28	0.137	0.254	-0.117	0.000
TP53_GOF	FSIP2	ZNF880	0.166	0.275	-0.109	0.001
TP53_GOF	FSTL4	RESF1	0.126	0.248	-0.123	0.001
TP53_GOF	FTH1	OPN3	0.183	0.300	-0.117	0.000
TP53_GOF	FTH1	RPL31	0.182	0.300	-0.118	0.000
TP53_GOF	FTL	MTHFD2L	0.130	0.249	-0.119	0.000
TP53_GOF	FTL	TMC6	0.234	0.334	-0.100	0.001
TP53_GOF	FUBP3	NAGS	0.157	0.259	-0.101	0.001
TP53_GOF	FUBP3	OOSP2	0.168	0.270	-0.102	0.000
TP53_GOF	FUBP3	PI15	0.145	0.249	-0.104	0.001
TP53_GOF	FUBP3	ZNF586	0.197	0.299	-0.103	0.002
TP53_GOF	FUNDC1	LEMD3	0.112	0.256	-0.144	0.000
TP53_GOF	FUNDC2	ICAM4	0.169	0.303	-0.134	0.000
TP53_GOF	FUNDC2	POU3F2	0.143	0.258	-0.115	0.000
TP53_GOF	FURIN	IKZF3	0.191	0.312	-0.120	0.001
TP53_GOF	FUT11	SLC49A3	0.146	0.251	-0.105	0.001
TP53_GOF	FUT11	ZNF439	0.279	0.162	0.117	0.000
TP53_GOF	FUT5	LTK	0.197	0.359	-0.162	0.000
TP53_GOF	FUT9	STAT1	0.129	0.255	-0.127	0.001
TP53_GOF	FXYD1	GABRP	0.140	0.249	-0.109	0.001
TP53_GOF	FXYD1	XPC	0.190	0.328	-0.138	0.001
TP53_GOF	FXYD7	WDFY3	0.138	0.249	-0.111	0.002
TP53_GOF	FZD3	OLFML1	0.202	0.306	-0.104	0.000
TP53_GOF	FZD5	GYPA	0.128	0.255	-0.126	0.000
TP53_GOF	FZD5	MAP3K21	0.130	0.264	-0.134	0.001
TP53_GOF	FZD6	PIK3CD	0.143	0.271	-0.128	0.000
TP53_GOF	FZD9	PI4K2A	0.231	0.350	-0.119	0.000
TP53_GOF	FZD9	RGN	0.130	0.249	-0.119	0.001
TP53_GOF	FZD9	TSPAN1	0.266	0.371	-0.105	0.000
TP53_GOF	G6PC2	MLIP	0.137	0.252	-0.115	0.000
TP53_GOF	G6PC2	OR5H1	0.300	0.405	-0.105	0.001
TP53_GOF	G6PC2	PAF1	0.227	0.328	-0.100	0.002
TP53_GOF	G6PC2	SART3	0.230	0.335	-0.104	0.000
TP53_GOF	G6PC2	SDC1	0.172	0.278	-0.105	0.000
TP53_GOF	G6PC2	SRP68	0.263	0.367	-0.104	0.000
TP53_GOF	G6PC2	STX18	0.137	0.254	-0.117	0.000
TP53_GOF	G6PC2	TOP1	0.233	0.345	-0.112	0.000
TP53_GOF	G6PC2	TPTE	0.284	0.396	-0.112	0.000
TP53_GOF	G6PC3	TRAPPC10	0.144	0.299	-0.154	0.000
TP53_GOF	G6PC3	ZNF250	0.134	0.251	-0.118	0.000
TP53_GOF	GABPB2	TMEM80	0.269	0.105	0.164	0.002
TP53_GOF	GABPB2	TRMT10B	0.148	0.265	-0.117	0.001
TP53_GOF	GABRA3	JPH4	0.123	0.259	-0.135	0.001
TP53_GOF	GABRR1	USP13	0.158	0.263	-0.104	0.000
TP53_GOF	GABRR2	ZC3H10	0.122	0.249	-0.127	0.000
TP53_GOF	GAD1	PHF8	0.152	0.255	-0.103	0.000
TP53_GOF	GADD45B	GTF3A	0.172	0.282	-0.110	0.000
TP53_GOF	GADD45B	XBP1	0.218	0.331	-0.114	0.002
TP53_GOF	GADL1	OR1L1	0.146	0.261	-0.116	0.000
TP53_GOF	GADL1	SMU1	0.154	0.259	-0.105	0.002
TP53_GOF	GADL1	SNRPG	0.157	0.264	-0.106	0.000
TP53_GOF	GADL1	UBL5	0.132	0.257	-0.125	0.000
TP53_GOF	GAGE10	ZC3H4	0.170	0.271	-0.101	0.001
TP53_GOF	GAK	NUP62	0.208	0.316	-0.108	0.000
TP53_GOF	GAK	OR7A17	0.158	0.262	-0.105	0.000
TP53_GOF	GAL	TTLL5	0.111	0.255	-0.144	0.002
TP53_GOF	GAL3ST4	MAP3K20	0.253	0.065	0.189	0.000
TP53_GOF	GALC	OBSL1	0.136	0.292	-0.156	0.000
TP53_GOF	GALC	SFTPC	0.193	0.312	-0.119	0.000
TP53_GOF	GALK1	PCF11	0.278	0.176	0.102	0.002
TP53_GOF	GALK1	TYMP	0.131	0.249	-0.118	0.001
TP53_GOF	GALK2	GPATCH2	0.290	0.121	0.169	0.002
TP53_GOF	GALNT12	MIEN1	0.227	0.328	-0.101	0.001
TP53_GOF	GALNT12	TXLNA	0.143	0.260	-0.117	0.002
TP53_GOF	GALNT15	ZFYVE21	0.169	0.272	-0.103	0.001
TP53_GOF	GALNT2	GOLGA6B	0.149	0.254	-0.105	0.002
TP53_GOF	GALNT2	TMEM97	0.221	0.340	-0.118	0.000
TP53_GOF	GALNT6	ZNF497	0.147	0.266	-0.119	0.000
TP53_GOF	GALNT7	LGI3	0.180	0.321	-0.141	0.000
TP53_GOF	GALNTL6	SEMA6B	0.124	0.249	-0.125	0.002
TP53_GOF	GALP	HCRTR1	0.260	0.158	0.102	0.001
TP53_GOF	GALP	TLR4	0.193	0.304	-0.111	0.000
TP53_GOF	GALT	MAST4	0.185	0.289	-0.104	0.002
TP53_GOF	GAN	MIEN1	0.143	0.254	-0.111	0.002
TP53_GOF	GAP43	HDX	0.263	0.142	0.121	0.001
TP53_GOF	GAP43	KANSL1L	0.128	0.250	-0.122	0.000
TP53_GOF	GAP43	KRT38	0.151	0.252	-0.101	0.000
TP53_GOF	GAP43	LRRC70	0.174	0.275	-0.102	0.000
TP53_GOF	GAP43	ZNF107	0.133	0.267	-0.134	0.000
TP53_GOF	GAP43	ZNF93	0.182	0.323	-0.141	0.000
TP53_GOF	GAPVD1	GPR18	0.162	0.263	-0.101	0.000
TP53_GOF	GAPVD1	WDR81	0.176	0.286	-0.110	0.001
TP53_GOF	GAS2L2	P2RY14	0.186	0.297	-0.111	0.000
TP53_GOF	GAS6	SLC38A11	0.129	0.258	-0.129	0.001
TP53_GOF	GAST	SMIM3	0.248	0.132	0.116	0.001
TP53_GOF	GATB	TEFM	0.328	0.212	0.116	0.000
TP53_GOF	GATC	MVD	0.198	0.297	-0.100	0.001
TP53_GOF	GATC	PDCD2	0.156	0.266	-0.111	0.001
TP53_GOF	GATC	RHEBL1	0.163	0.272	-0.110	0.001
TP53_GOF	GATC	SDHD	0.212	0.317	-0.105	0.000
TP53_GOF	GATC	SWSAP1	0.170	0.270	-0.100	0.001
TP53_GOF	GATD1	USP47	0.144	0.251	-0.108	0.001
TP53_GOF	GBA	PARP2	0.135	0.256	-0.121	0.000
TP53_GOF	GBA	PDCD6	0.179	0.283	-0.103	0.000
TP53_GOF	GBF1	POLR3B	0.172	0.282	-0.110	0.002
TP53_GOF	GBF1	RPH3A	0.165	0.272	-0.107	0.002
TP53_GOF	GBP4	TMPRSS11E	0.111	0.258	-0.147	0.001
TP53_GOF	GBP5	MGP	0.150	0.253	-0.103	0.000
TP53_GOF	GBP6	NGF	0.120	0.248	-0.128	0.000
TP53_GOF	GBP6	RD3	0.132	0.251	-0.118	0.001
TP53_GOF	GBX2	MESP2	0.232	0.345	-0.112	0.000
TP53_GOF	GCC2	GLA	0.136	0.253	-0.117	0.001
TP53_GOF	GCC2	ISCA2	0.156	0.269	-0.113	0.000
TP53_GOF	GCC2	KCTD12	0.130	0.256	-0.126	0.000
TP53_GOF	GCC2	METTL17	0.153	0.273	-0.120	0.001
TP53_GOF	GCC2	MRPL48	0.128	0.251	-0.123	0.000
TP53_GOF	GCC2	MRPS30	0.170	0.275	-0.106	0.000
TP53_GOF	GCC2	NDUFB6	0.195	0.301	-0.106	0.002
TP53_GOF	GCC2	RPUSD4	0.127	0.255	-0.128	0.000
TP53_GOF	GCC2	TPH2	0.230	0.352	-0.121	0.001
TP53_GOF	GCC2	YARS2	0.139	0.250	-0.111	0.000
TP53_GOF	GCDH	RNF167	0.132	0.262	-0.130	0.002
TP53_GOF	GCFC2	HNMT	0.128	0.260	-0.132	0.000
TP53_GOF	GCFC2	HNRNPA0	0.143	0.259	-0.116	0.001
TP53_GOF	GCFC2	LYL1	0.158	0.261	-0.103	0.001
TP53_GOF	GCFC2	MANF	0.139	0.302	-0.163	0.000
TP53_GOF	GCFC2	POLM	0.149	0.265	-0.116	0.001
TP53_GOF	GCFC2	TOR1AIP1	0.200	0.313	-0.113	0.000
TP53_GOF	GCFC2	ZSWIM1	0.188	0.342	-0.154	0.000
TP53_GOF	GCG	SCN3A	0.157	0.267	-0.109	0.001
TP53_GOF	GCH1	MRPL34	0.138	0.257	-0.119	0.000
TP53_GOF	GCH1	OAZ1	0.148	0.271	-0.122	0.001
TP53_GOF	GCKR	SYNPO	0.168	0.269	-0.101	0.000
TP53_GOF	GCLC	ZNF644	0.169	0.285	-0.116	0.000
TP53_GOF	GCLC	ZNHIT1	0.165	0.269	-0.104	0.000
TP53_GOF	GCM1	LRRC3B	0.211	0.314	-0.103	0.000
TP53_GOF	GCNA	MIEN1	0.169	0.275	-0.106	0.002
TP53_GOF	GCNA	PACSIN1	0.274	0.151	0.123	0.000
TP53_GOF	GCSH	MRPS10	0.188	0.292	-0.104	0.002
TP53_GOF	GDAP1	TMEM154	0.151	0.281	-0.131	0.000
TP53_GOF	GDE1	THAP6	0.142	0.264	-0.122	0.000
TP53_GOF	GDF11	MCUR1	0.158	0.274	-0.116	0.001
TP53_GOF	GDF7	LRRC4	0.182	0.310	-0.128	0.001
TP53_GOF	GDPD1	MFSD8	0.282	0.410	-0.128	0.002
TP53_GOF	GDPD1	MRS2	0.126	0.260	-0.134	0.000
TP53_GOF	GDPD1	SETX	0.300	0.404	-0.104	0.000
TP53_GOF	GDPD1	VWC2	0.136	0.252	-0.116	0.002
TP53_GOF	GDPD1	WDR54	0.242	0.347	-0.105	0.002
TP53_GOF	GDPD1	ZNF747	0.214	0.319	-0.105	0.002
TP53_GOF	GDPD3	PIP5KL1	0.148	0.251	-0.102	0.000
TP53_GOF	GDPD4	LRRTM4	0.147	0.255	-0.108	0.001
TP53_GOF	GDPD5	ISM1	0.150	0.251	-0.101	0.000
TP53_GOF	GDPD5	PPP1R3G	0.158	0.273	-0.115	0.000
TP53_GOF	GEMIN5	GRWD1	0.183	0.289	-0.105	0.002
TP53_GOF	GEMIN7	GTF2H4	0.318	0.209	0.109	0.001
TP53_GOF	GEMIN7	HUS1	0.203	0.304	-0.101	0.000
TP53_GOF	GEMIN7	LSM5	0.269	0.153	0.116	0.000
TP53_GOF	GEMIN7	PES1	0.335	0.235	0.100	0.001
TP53_GOF	GEMIN7	RAD9A	0.192	0.325	-0.132	0.000
TP53_GOF	GEMIN7	RPF2	0.280	0.177	0.104	0.002
TP53_GOF	GEMIN7	SRP9	0.251	0.146	0.105	0.001
TP53_GOF	GEMIN8	GIMAP1	0.168	0.292	-0.124	0.000
TP53_GOF	GEMIN8	INSL4	0.193	0.294	-0.101	0.002
TP53_GOF	GEMIN8	PSMB2	0.154	0.270	-0.116	0.001
TP53_GOF	GEMIN8	TNFRSF8	0.115	0.252	-0.137	0.000
TP53_GOF	GET1	SPANXN2	0.241	0.377	-0.136	0.000
TP53_GOF	GFER	RAD9A	0.237	0.344	-0.107	0.000
TP53_GOF	GFI1	IRF8	0.209	0.402	-0.193	0.000
TP53_GOF	GFI1	STAT5B	0.163	0.316	-0.154	0.001
TP53_GOF	GFI1B	IFFO1	0.309	0.208	0.100	0.000
TP53_GOF	GFI1B	POMT1	0.225	0.334	-0.109	0.000
TP53_GOF	GFOD1	NUDT17	0.133	0.254	-0.121	0.000
TP53_GOF	GFOD1	TIMP2	0.150	0.257	-0.107	0.000
TP53_GOF	GFRA3	IFTAP	0.192	0.297	-0.105	0.000
TP53_GOF	GFRA3	RBM18	0.160	0.272	-0.112	0.000
TP53_GOF	GFY	KRT85	0.142	0.249	-0.108	0.000
TP53_GOF	GGACT	GJC2	0.129	0.248	-0.119	0.001
TP53_GOF	GGCT	WBP1	0.141	0.248	-0.108	0.000
TP53_GOF	GGCX	MAP3K20	0.212	0.331	-0.119	0.000
TP53_GOF	GGCX	NPB	0.179	0.285	-0.106	0.001
TP53_GOF	GGH	SAP18	0.153	0.254	-0.101	0.000
TP53_GOF	GGPS1	IDH3A	0.137	0.254	-0.116	0.000
TP53_GOF	GGPS1	RBM18	0.230	0.343	-0.113	0.000
TP53_GOF	GGT6	MINK1	0.142	0.267	-0.125	0.000
TP53_GOF	GGTLC2	SELENOW	0.283	0.160	0.123	0.000
TP53_GOF	GGTLC2	SLCO4A1	0.138	0.252	-0.114	0.000
TP53_GOF	GH2	PRKAR1A	0.200	0.323	-0.123	0.000
TP53_GOF	GH2	ZNF99	0.223	0.344	-0.121	0.001
TP53_GOF	GHR	ZNF586	0.210	0.313	-0.103	0.001
TP53_GOF	GHRH	SNX11	0.162	0.270	-0.108	0.000
TP53_GOF	GHRHR	SH3D21	0.173	0.290	-0.117	0.000
TP53_GOF	GHSR	SLC39A14	0.145	0.248	-0.103	0.001
TP53_GOF	GID4	GSTO1	0.152	0.277	-0.125	0.001
TP53_GOF	GID4	H2BC13	0.157	0.272	-0.115	0.001
TP53_GOF	GID4	H3-3A	0.239	0.351	-0.112	0.002
TP53_GOF	GID4	NSMCE3	0.159	0.263	-0.104	0.002
TP53_GOF	GID4	PRAF2	0.192	0.294	-0.103	0.000
TP53_GOF	GID4	PRR7	0.157	0.268	-0.111	0.002
TP53_GOF	GID4	RABAC1	0.135	0.253	-0.118	0.001
TP53_GOF	GID4	RELL2	0.158	0.267	-0.108	0.002
TP53_GOF	GID4	SETX	0.210	0.321	-0.110	0.001
TP53_GOF	GID4	SLC27A5	0.106	0.249	-0.143	0.000
TP53_GOF	GID4	TMX1	0.235	0.350	-0.116	0.002
TP53_GOF	GIGYF1	HES7	0.176	0.300	-0.124	0.002
TP53_GOF	GIGYF1	SNAI2	0.145	0.276	-0.131	0.000
TP53_GOF	GIMAP1	PRR23C	0.229	0.350	-0.121	0.000
TP53_GOF	GIMAP1	RRP1	0.217	0.317	-0.100	0.001
TP53_GOF	GIMAP2	PRSS58	0.152	0.261	-0.109	0.000
TP53_GOF	GIMAP4	ZNF587B	0.172	0.278	-0.105	0.000
TP53_GOF	GIMAP6	KNL1	0.233	0.338	-0.105	0.000
TP53_GOF	GIMAP6	OR4D10	0.218	0.328	-0.109	0.001
TP53_GOF	GIMAP6	VAC14	0.157	0.276	-0.119	0.000
TP53_GOF	GINM1	LCN12	0.148	0.257	-0.109	0.000
TP53_GOF	GINS4	NMI	0.124	0.258	-0.134	0.000
TP53_GOF	GINS4	PDE11A	0.132	0.262	-0.131	0.001
TP53_GOF	GINS4	ZNF169	0.295	0.184	0.111	0.001
TP53_GOF	GIP	TOR1A	0.178	0.290	-0.113	0.000
TP53_GOF	GIPC1	MFSD10	0.164	0.285	-0.120	0.002
TP53_GOF	GIPC3	METTL6	0.194	0.303	-0.110	0.002
TP53_GOF	GIPR	PTPRJ	0.159	0.267	-0.108	0.000
TP53_GOF	GIPR	SAMD11	0.225	0.331	-0.106	0.000
TP53_GOF	GJA1	IL22RA1	0.140	0.251	-0.112	0.002
TP53_GOF	GJA10	TRPV1	0.136	0.249	-0.113	0.001
TP53_GOF	GJA3	PDZD2	0.200	0.301	-0.101	0.002
TP53_GOF	GJB7	HTR1E	0.192	0.296	-0.105	0.001
TP53_GOF	GJB7	LRRC36	0.152	0.288	-0.137	0.000
TP53_GOF	GJC2	IDH2	0.306	0.421	-0.115	0.002
TP53_GOF	GJC2	MEGF6	0.116	0.279	-0.164	0.001
TP53_GOF	GJD2	RIPPLY3	0.099	0.249	-0.151	0.001
TP53_GOF	GJD2	STRA6	0.143	0.291	-0.149	0.000
TP53_GOF	GJD4	TMC8	0.172	0.275	-0.103	0.000
TP53_GOF	GK5	HES7	0.160	0.270	-0.110	0.001
TP53_GOF	GK5	MRPL27	0.135	0.257	-0.122	0.000
TP53_GOF	GK5	PRRX1	0.158	0.265	-0.107	0.000
TP53_GOF	GLA	PKD1	0.155	0.272	-0.116	0.000
TP53_GOF	GLA	THAP7	0.152	0.260	-0.108	0.000
TP53_GOF	GLB1L3	UCP1	0.120	0.254	-0.134	0.000
TP53_GOF	GLCE	GPR6	0.149	0.275	-0.125	0.000
TP53_GOF	GLCE	PARVG	0.143	0.260	-0.116	0.000
TP53_GOF	GLCE	POR	0.191	0.295	-0.104	0.000
TP53_GOF	GLE1	STX19	0.124	0.248	-0.125	0.000
TP53_GOF	GLI4	IGFLR1	0.187	0.294	-0.107	0.002
TP53_GOF	GLI4	KCNK12	0.124	0.269	-0.146	0.002
TP53_GOF	GLI4	KCNK4	0.153	0.272	-0.119	0.001
TP53_GOF	GLI4	KREMEN2	0.155	0.268	-0.113	0.000
TP53_GOF	GLI4	PIGY	0.155	0.288	-0.132	0.000
TP53_GOF	GLP1R	INMT	0.226	0.340	-0.114	0.000
TP53_GOF	GLP1R	KRT15	0.203	0.313	-0.110	0.000
TP53_GOF	GLP1R	OR4D6	0.203	0.308	-0.105	0.001
TP53_GOF	GLRA1	SIGLEC10	0.130	0.249	-0.119	0.001
TP53_GOF	GLRX3	JPT2	0.166	0.273	-0.107	0.000
TP53_GOF	GLRX3	PHLDA2	0.142	0.261	-0.119	0.002
TP53_GOF	GLRX3	PPA2	0.164	0.266	-0.102	0.000
TP53_GOF	GLS	TRMT5	0.124	0.253	-0.129	0.000
TP53_GOF	GLT1D1	MED4	0.133	0.252	-0.119	0.001
TP53_GOF	GLT1D1	OR13F1	0.153	0.259	-0.105	0.001
TP53_GOF	GLTP	MAST4	0.154	0.263	-0.109	0.000
TP53_GOF	GLUD1	PIGM	0.154	0.265	-0.112	0.002
TP53_GOF	GMFB	ZMYM2	0.142	0.261	-0.118	0.000
TP53_GOF	GMFG	TMEM115	0.164	0.266	-0.102	0.001
TP53_GOF	GMIP	SLC25A14	0.250	0.133	0.117	0.001
TP53_GOF	GML	SULT1C2	0.114	0.255	-0.142	0.000
TP53_GOF	GMNC	SDC2	0.278	0.175	0.102	0.001
TP53_GOF	GMNN	POLR2H	0.151	0.251	-0.101	0.001
TP53_GOF	GMNN	TRIM29	0.122	0.280	-0.158	0.000
TP53_GOF	GMPPB	ZNF169	0.265	0.163	0.102	0.000
TP53_GOF	GMPS	VMA21	0.167	0.279	-0.112	0.000
TP53_GOF	GNA11	UBALD2	0.130	0.290	-0.160	0.000
TP53_GOF	GNAO1	PDHA2	0.191	0.291	-0.100	0.001
TP53_GOF	GNB1	KCNK10	0.180	0.282	-0.102	0.001
TP53_GOF	GNB1	KIAA1841	0.120	0.257	-0.137	0.000
TP53_GOF	GNG13	HDGFL1	0.203	0.316	-0.112	0.001
TP53_GOF	GNG13	HIBCH	0.164	0.278	-0.114	0.000
TP53_GOF	GNG13	OR6X1	0.172	0.274	-0.102	0.001
TP53_GOF	GNG2	LRRC8E	0.139	0.265	-0.126	0.001
TP53_GOF	GNG2	PAPPA	0.296	0.411	-0.115	0.000
TP53_GOF	GNG2	RBFOX1	0.143	0.268	-0.125	0.001
TP53_GOF	GNG2	YAE1	0.149	0.298	-0.148	0.000
TP53_GOF	GNG2	ZC3H6	0.154	0.296	-0.142	0.000
TP53_GOF	GNG3	MFSD3	0.235	0.341	-0.106	0.000
TP53_GOF	GNG3	MICAL2	0.160	0.281	-0.121	0.002
TP53_GOF	GNG3	PIGP	0.275	0.403	-0.127	0.002
TP53_GOF	GNG3	ZCCHC4	0.217	0.319	-0.102	0.000
TP53_GOF	GNG5	GUCA1C	0.149	0.257	-0.108	0.002
TP53_GOF	GNL1	IMPA1	0.130	0.248	-0.118	0.001
TP53_GOF	GNL3L	IQCA1	0.149	0.289	-0.140	0.002
TP53_GOF	GNL3L	SIX4	0.140	0.251	-0.111	0.002
TP53_GOF	GNPDA2	MCM10	0.090	0.280	-0.189	0.000
TP53_GOF	GNRH1	NCF1	0.153	0.267	-0.114	0.000
